,category,definition,name,note,produces_result,provenance,provenance_uri,resource_uri,term,vocabulary_id,vocabulary_status
0,FieldActivity,A specialized form of an expedition action that involves an ocean-going vessel. Cruise actions are typically parents to other related Actions.,Cruise,Parent to site visit actions and other actions,No,,,/api/v1/actiontype/cruise/,cruise,1492,Current
1,Equipment,The act of retrieving data from a datalogger deployed at a monitoring site.,Data retrieval,,No,,,/api/v1/actiontype/dataRetrieval/,dataRetrieval,1493,Current
2,Observation,The act of creating results by deriving them from other results.,Derivation,,Yes,,,/api/v1/actiontype/derivation/,derivation,1494,Current
3,Equipment,The act of placing equipment that will not make observations at or within a sampling feature. Actions involving the deployment of instruments should use the more specific term Instrument deployment.,Equipment deployment,,No,,,/api/v1/actiontype/equipmentDeployment/,equipmentDeployment,1495,Current
4,Equipment,"The act of performing regular or periodic upkeep or servicing of field or laboratory equipment. Maintenance may be performed in the field, in a laboratory, or at a factory maintenance center.",Equipment maintenance,,No,,,/api/v1/actiontype/equipmentMaintenance/,equipmentMaintenance,1496,Current
5,Equipment,The act of creating or modifying the data collection program running on a datalogger or other equipment deployed at a monitoring site.,Equipment programming,,No,,,/api/v1/actiontype/equipmentProgramming/,equipmentProgramming,1497,Current
6,Equipment,"The act of recovering a piece of equipment that made no observations from a deployment at a sampling feature or other location. For instruments, the more specific term Instrument retrieval should be used.",Equipment retrieval,,No,,,/api/v1/actiontype/equipmentRetrieval/,equipmentRetrieval,1498,Current
7,Observation,The act of creating results by estimation or professional judgement.,Estimation,,Yes,,,/api/v1/actiontype/estimation/,estimation,1499,Current
8,FieldActivity,"A field visit action in which many sites are visited over a continguous period of time, often involving serveral investigators, and typically having a specific purpose.  Expedition actions are typically parents to other related Actions.",Expedition,Parent to site visit actions and other actions,No,,,/api/v1/actiontype/expedition/,expedition,1500,Current
9,FieldActivity,"A generic, non-specific action type performed in the field at or on a sampling feature.",Field activity,,No,,,/api/v1/actiontype/fieldActivity/,fieldActivity,1501,Current
10,Other,"A generic, non-specific action type that does not produce a result.",Generic non-observation,Use this action type for actions that are of unkown type or otherwise can not be classified as any of the existing action types.,No,,,/api/v1/actiontype/genericNonObservation/,genericNonObservation,1502,Current
11,Equipment,The act of calibrating an instrument either in the field or in a laboratory. The instrument may be an in situ field sensor or a laboratory instrument.  An instrument is the subclass of equipment that is capable of making an observation to produce a result.,Instrument calibration,,No,,,/api/v1/actiontype/instrumentCalibration/,instrumentCalibration,1503,Current
12,Observation,"The act of deploying an in situ instrument or sensor that creates an observation result.  This term is a specific form of the Observation actions category of actions, which is the only category of actions that can produce observation results.",Instrument deployment,"A specific form of the Observation actions category of actions, which is the only category of actions that can produce observation results. This term should be used to describe an action that creates an observation result from deployment of an in situ sensor or instrument.",Yes,,,/api/v1/actiontype/instrumentDeployment/,instrumentDeployment,1504,Current
13,Equipment,The act of recovering an in situ instrument (which made observations) from a sampling feature. This action ends an instrument deployment action.,Instrument retrieval,,No,,,/api/v1/actiontype/instrumentRetrieval/,instrumentRetrieval,1505,Current
14,Observation,The general act of making an observation. This term should be used when a Result is generated but the more specific terms of Instrument deployment or Specimen analysis are not applicable.,Observation,"The general form of the Observation actions category of actions, which is the only category of actions that can produce observation results. This term should be used in cases where the Result does not come from an instrument deployment or specimen analysis, or where information about the instrument deployment or speciment analysis is unknown.",Yes,Open Geospatial Consortium Observations & Measurements,,/api/v1/actiontype/observation/,observation,1506,Current
15,Observation,The act of calculating results through the use of a simulation model.,Simulation,,Yes,,,/api/v1/actiontype/simulation/,simulation,1507,Current
16,FieldActivity,"A field visit action in which a single site is visited for one or more other possible actions (i.e., specimen collection, equipment maintenance, etc.).  Site visit actions are typically parents to other related actions.",Site visit,Parent to other actions,No,,,/api/v1/actiontype/siteVisit/,siteVisit,1508,Current
17,Observation,"The analysis of a specimen ex situ using an instrument, typically in a laboratory, for the purpose of measuring properties of that specimen.",Specimen analysis,"A specific form of the Observation actions category of actions, which is the only category of actions that can produce observation results. This term should be used to describe an action that creates an observation result from ex situ analysis of a specimen.",Yes,,,/api/v1/actiontype/specimenAnalysis/,specimenAnalysis,1509,Current
18,SamplingFeature,The collection of a specimen in the field.,Specimen collection,,No,,,/api/v1/actiontype/specimenCollection/,specimenCollection,1510,Current
19,SamplingFeature,The process of separating a specimen into multiple different fractions or size classes.,Specimen fractionation,,No,,,/api/v1/actiontype/specimenFractionation/,specimenFractionation,1511,Current
20,SamplingFeature,The processing of a specimen collected in the field to produce a sample suitable for analysis using a particular analytical procedure.,Specimen preparation,,No,,,/api/v1/actiontype/specimenPreparation/,specimenPreparation,1512,Current
21,SamplingFeature,The act of preserving a specimen collected in the field to produce a sample suitable for analysis using a particular analytical procedure.,Specimen preservation,,No,,,/api/v1/actiontype/specimenPreservation/,specimenPreservation,1513,Current
22,FieldActivity,The act of deploying a submersible from a vessel or ship.,Submersible launch,,No,,,/api/v1/actiontype/submersibleLaunch/,submersibleLaunch,1514,Current
